Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
631,mm3d,The Legend of Zelda: Majora's Mask 3D,Action-Adventure,Nintendo 3DS,102.0,2009-04-18
632,dxhr,Deus Ex: Human Revolution,RPG,"Wii U, PlayStation 3, Xbox 360, PC",87.0,2015-02-13
633,mmx3,Mega Man X3,2D Platformer,"Super Nintendo, Nintendo 3DS, Wii U Virtual Console",182.0,2011-08-23
634,broforce,Broforce,Action,"PlayStation 4, PC, Macintosh, Linux, Switch",123.0,1995-12-01
635,d_io,Diep.io,Misc,"Android, iOS, Web",247.0,2015-10-15
636,scott_pilgrim_vs_the_world_the_game_complete_edition,Scott Pilgrim vs. The World: The Game - Complete Edition,Brawler,"PlayStation 4, Xbox One, PC, Switch, Google Stadia",176.0,2016-04-16
637,clocktower,Clock Tower (SNES),Horror,"Super Nintendo, Wii Virtual Console, PlayStation, PC, WonderSwan",226.0,2021-01-14
638,smbdeluxe,Super Monkey Ball Deluxe,3D Platformer,"PlayStation 2, Xbox 360, Xbox",168.0,1995-09-14
639,yhtwtgsteam,You Have To Win The Game,2D Platformer,"PC, Macintosh, Linux",186.0,2005-03-15
640,tvot,The Very Organized Thief,Misc,PC,176.0,2014-05-08
641,noita,Noita,Roguelike,PC,218.0,2013-01-01
642,wwnes,Where's Waldo?,Misc,Nintendo Entertainment System,161.0,2019-09-24
643,mssb,Mario Superstar Baseball,Sports,"GameCube, Wii",198.0,1991-09-17
644,gonehome,Gone Home,Misc,"PlayStation 4, Xbox One, PC, Switch",233.0,2005-07-21
645,dl2,Duck Life 2,Racing,Web,168.0,2013-01-01
646,mmx6,Mega Man X6,2D Platformer,"GameCube, PlayStation 2, PlayStation, PlayStation 4, Xbox One, PC, PSN Download, Switch",155.0,2010-01-01
647,smrpg,Super Mario RPG: Legend of the Seven Stars,RPG,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, SNES Classic Mini",121.0,2001-11-29
648,sonicforces,Sonic Forces,Action,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X, Xbox Series S",160.0,1996-03-09
649,key,Kirby's Epic Yarn,2D Platformer,"Wii U, Wii",141.0,2017-11-07
650,axiomverge,Axiom Verge,Action,"Wii U, PlayStation Vita, PlayStation 4, Xbox One, PC, Switch",144.0,2010-10-14
651,pacify,Pacify,Horror,PC,242.0,2015-03-31
652,tmnf,TrackMania Nations Forever,Racing,PC,205.0,2019-02-22
